Date,Hour,Rank,Topic,Volume
2019-01-01,00:09,1,Josh Johnson,0
2019-01-01,00:09,2,Adrian Peterson,0
2019-01-01,00:09,3,Army,518.784
2019-01-01,00:09,4,Chris Rock,0
2019-01-01,00:09,5,Reid Travis,0
2019-01-01,00:09,6,Chisora,25.264
2019-01-01,00:09,7,Michael Floyd,0
2019-01-01,00:09,8,#WhenIListenToMusic,0
2019-01-01,00:09,9,David Hogg,18.918
2019-01-01,00:09,10,Frampton,21.093
2019-01-01,00:39,1,Josh Johnson,0
2019-01-01,00:39,2,Adrian Peterson,0
2019-01-01,00:39,3,Army,518.784
2019-01-01,00:39,4,Chris Rock,0
2019-01-01,00:39,5,Reid Travis,0
2019-01-01,00:39,6,Chisora,25.264
2019-01-01,00:39,7,Michael Floyd,0
2019-01-01,00:39,8,#WhenIListenToMusic,0
2019-01-01,00:39,9,David Hogg,18.918
2019-01-01,00:39,10,Frampton,21.093
2019-01-01,01:09,1,Josh Johnson,0
2019-01-01,01:09,2,Adrian Peterson,0
2019-01-01,01:09,3,Army,518.784
2019-01-01,01:09,4,Chris Rock,0
2019-01-01,01:09,5,Reid Travis,0
2019-01-01,01:09,6,Chisora,25.264
2019-01-01,01:09,7,Michael Floyd,0
2019-01-01,01:09,8,#WhenIListenToMusic,0
2019-01-01,01:09,9,David Hogg,18.918
2019-01-01,01:09,10,Frampton,21.093
2019-01-01,01:39,1,Josh Johnson,0
2019-01-01,01:39,2,Adrian Peterson,0
2019-01-01,01:39,3,Army,518.784
2019-01-01,01:39,4,Chris Rock,0
2019-01-01,01:39,5,Reid Travis,0
2019-01-01,01:39,6,Chisora,25.264
2019-01-01,01:39,7,Michael Floyd,0
2019-01-01,01:39,8,#WhenIListenToMusic,0
2019-01-01,01:39,9,David Hogg,18.918
2019-01-01,01:39,10,Frampton,21.093
2019-01-01,02:09,1,Josh Johnson,0
2019-01-01,02:09,2,Adrian Peterson,0
2019-01-01,02:09,3,Army,518.784
2019-01-01,02:09,4,Chris Rock,0
2019-01-01,02:09,5,Reid Travis,0
2019-01-01,02:09,6,Chisora,25.264
2019-01-01,02:09,7,Michael Floyd,0
2019-01-01,02:09,8,#WhenIListenToMusic,0
2019-01-01,02:09,9,David Hogg,18.918
2019-01-01,02:09,10,Frampton,21.093
2019-01-01,02:39,1,Josh Johnson,0
2019-01-01,02:39,2,Adrian Peterson,0
2019-01-01,02:39,3,Army,518.784
2019-01-01,02:39,4,Chris Rock,0
2019-01-01,02:39,5,Reid Travis,0
2019-01-01,02:39,6,Chisora,25.264
2019-01-01,02:39,7,Michael Floyd,0
2019-01-01,02:39,8,#WhenIListenToMusic,0
2019-01-01,02:39,9,David Hogg,18.918
2019-01-01,02:39,10,Frampton,21.093
2019-01-01,03:09,1,Josh Johnson,0
2019-01-01,03:09,2,Adrian Peterson,0
2019-01-01,03:09,3,Army,518.784
2019-01-01,03:09,4,Chris Rock,0
2019-01-01,03:09,5,Reid Travis,0
2019-01-01,03:09,6,Chisora,25.264
2019-01-01,03:09,7,Michael Floyd,0
2019-01-01,03:09,8,#WhenIListenToMusic,0
2019-01-01,03:09,9,David Hogg,18.918
2019-01-01,03:09,10,Frampton,21.093
2019-01-01,03:39,1,Josh Johnson,0
2019-01-01,03:39,2,Adrian Peterson,0
2019-01-01,03:39,3,Army,518.784
2019-01-01,03:39,4,Chris Rock,0
2019-01-01,03:39,5,Reid Travis,0
2019-01-01,03:39,6,Chisora,25.264
2019-01-01,03:39,7,Michael Floyd,0
2019-01-01,03:39,8,#WhenIListenToMusic,0
2019-01-01,03:39,9,David Hogg,18.918
2019-01-01,03:39,10,Frampton,21.093
2019-01-01,04:09,1,Josh Johnson,0
2019-01-01,04:09,2,Adrian Peterson,0
2019-01-01,04:09,3,Army,518.784
2019-01-01,04:09,4,Chris Rock,0
2019-01-01,04:09,5,Reid Travis,0
2019-01-01,04:09,6,Chisora,25.264
2019-01-01,04:09,7,Michael Floyd,0
2019-01-01,04:09,8,#WhenIListenToMusic,0
2019-01-01,04:09,9,David Hogg,18.918
2019-01-01,04:09,10,Frampton,21.093
2019-01-02,13:36,1,Bob Einstein,17.065
2019-01-02,13:36,2,Mean Gene,110.520
2019-01-02,13:36,3,#WednesdayWisdom,89.590
2019-01-02,13:36,4,#FirstLineOfTrumpsBiography,0
2019-01-02,13:36,5,#MoneyIn3Words,0
2019-01-02,13:36,6,#PayGo,12.749
2019-01-02,13:36,7,Cabinet,90.534
2019-01-02,13:36,8,Guaynabo,0
2019-01-02,13:36,9,Mike D'Antoni,0
2019-01-02,13:36,10,#BirdBoxChallenge,0
2019-01-02,14:06,1,Bob Einstein,20.535
2019-01-02,14:06,2,Mean Gene,115.086
2019-01-02,14:06,3,#WednesdayWisdom,92.248
2019-01-02,14:06,4,#FirstLineOfTrumpsBiography,0
2019-01-02,14:06,5,#MoneyIn3Words,0
2019-01-02,14:06,6,#PayGo,13.754
2019-01-02,14:06,7,Cabinet,92.741
2019-01-02,14:06,8,#BirdBoxChallenge,0
2019-01-02,14:06,9,Guaynabo,0
2019-01-02,14:06,10,Uncle Tom,0
2019-01-02,14:36,1,Bob Einstein,23.868
2019-01-02,14:36,2,Mean Gene,119.159
2019-01-02,14:36,3,#FirstLineOfTrumpsBiography,0
2019-01-02,14:36,4,#WednesdayWisdom,95.180
2019-01-02,14:36,5,#MoneyIn3Words,0
2019-01-02,14:36,6,Blake Nordstrom,0
2019-01-02,14:36,7,#BirdBoxChallenge,0
2019-01-02,14:36,8,#PayGo,14.861
2019-01-02,14:36,9,Mark Loretta,0
2019-01-02,14:36,10,Jim Margraff,0
2019-01-02,14:51,1,Bob Einstein,25.161
2019-01-02,14:51,2,Mean Gene,121.026
2019-01-02,14:51,3,#FirstLineOfTrumpsBiography,0
2019-01-02,14:51,4,#WednesdayWisdom,96.466
2019-01-02,14:51,5,Blake Nordstrom,0
2019-01-02,14:51,6,#MoneyIn3Words,0
2019-01-02,14:51,7,Tim Cook,0
2019-01-02,14:51,8,Mark Loretta,0
2019-01-02,14:51,9,#BirdBoxChallenge,0
2019-01-02,14:51,10,Rashford,22.009
2019-01-02,19:09,1,-,0
2019-01-02,19:09,2,-,0
2019-01-02,19:09,3,-,0
2019-01-02,19:09,4,-,0
2019-01-02,19:09,5,-,0
2019-01-02,19:09,6,-,0
2019-01-02,19:09,7,-,0
2019-01-02,19:09,8,-,0
2019-01-02,19:09,9,-,0
2019-01-02,19:09,10,-,0
2019-01-02,19:35,1,#TheMaskedSinger,59.751
2019-01-02,19:35,2,#grownish,25.182
2019-01-02,19:35,3,#LHHMIA,0
2019-01-02,19:35,4,#BlackInkCHI,0
2019-01-02,19:35,5,Daryl Dragon,13.224
2019-01-02,19:35,6,#Catfish,0
2019-01-02,19:35,7,jalen smith,0
2019-01-02,19:35,8,Super Dave,41.028
2019-01-02,19:35,9,Nick Ward,0
2019-01-02,19:35,10,Nets,0
2019-01-02,20:05,1,#TheMaskedSinger,87.340
2019-01-02,20:05,2,#grownish,26.022
2019-01-02,20:05,3,#BlackInkCHI,0
2019-01-02,20:05,4,#LHHMIA,0
2019-01-02,20:05,5,Marcus Smart,0
2019-01-02,20:05,6,Daryl Dragon,13.997
2019-01-02,20:05,7,#Catfish,0
2019-01-02,20:05,8,Gordon Hayward,0
2019-01-02,20:05,9,Super Dave,42.117
2019-01-02,20:05,10,Nets,0
2019-01-02,20:30,1,#TheMaskedSinger,95.197
2019-01-02,20:30,2,#Grownish,26.714
2019-01-02,20:30,3,Gordon Hayward,0
2019-01-02,20:30,4,#BlackInkCHI,0
2019-01-02,20:30,5,#LHHMIA,0
2019-01-02,20:30,6,marcus smart,0
2019-01-02,20:30,7,Daryl Dragon,14.641
2019-01-02,20:30,8,#Catfish,0
2019-01-02,20:30,9,Paris Hilton,0
2019-01-02,20:30,10,Nets,0
2019-01-02,20:59,1,#TheMaskedSinger,102.263
2019-01-02,20:59,2,Gordon Hayward,0
2019-01-02,20:59,3,#grownish,27.213
2019-01-02,20:59,4,#BlackInkCHI,0
2019-01-02,20:59,5,#LHHMIA,10.602
2019-01-02,20:59,6,#RHONJ,0
2019-01-02,20:59,7,Marcus Smart,0
2019-01-02,20:59,8,Daryl Dragon,15.369
2019-01-02,20:59,9,Nets,0
2019-01-02,20:59,10,Jamie Benn,0
2019-01-02,21:35,1,#TheMaskedSinger,108.924
2019-01-02,21:35,2,Paul George,0
2019-01-02,21:35,3,Gordon Hayward,0
2019-01-02,21:35,4,#grownish,27.828
2019-01-02,21:35,5,#StrangeSafeWords,0
2019-01-02,21:35,6,#LHHMIA,11.147
2019-01-02,21:35,7,#BlackInkCHI,0
2019-01-02,21:35,8,Marcus Smart,0
2019-01-02,21:35,9,Lonzo,0
2019-01-02,21:35,10,Daryl Dragon,16.117
2019-01-02,22:04,1,Coachella,128.413
2019-01-02,22:04,2,#TheMaskedSinger,114.244
2019-01-02,22:04,3,Paul George,0
2019-01-02,22:04,4,Lance,42.782
2019-01-02,22:04,5,Gordon Hayward,0
2019-01-02,22:04,6,Tame Impala,0
2019-01-02,22:04,7,#StrangeSafeWords,0
2019-01-02,22:04,8,#grownish,28.270
2019-01-02,22:04,9,Lonzo,0
2019-01-02,22:04,10,#BlackInkCHI,0
2019-01-02,22:29,1,Coachella,192.030
2019-01-02,22:29,2,#TheMaskedSinger,119.268
2019-01-02,22:29,3,Paul George,10.073
2019-01-02,22:29,4,Lance,47.791
2019-01-02,22:29,5,Westbrook,17.402
2019-01-02,22:29,6,Gordon Hayward,0
2019-01-02,22:29,7,#StrangeSafeWords,0
2019-01-02,22:29,8,#grownish,28.557
2019-01-02,22:29,9,Lonzo,0
2019-01-02,22:29,10,Ingram,0
2019-01-02,23:00,1,Coachella,247.637
2019-01-02,23:00,2,#TheMaskedSinger,124.882
2019-01-02,23:00,3,Paul George,10.926
2019-01-02,23:00,4,Westbrook,19.877
2019-01-02,23:00,5,Lance,50.968
2019-01-02,23:00,6,Josh Hart,0
2019-01-02,23:00,7,Gordon Hayward,0
2019-01-02,23:00,8,#StrangeSafeWords,0
2019-01-02,23:00,9,#Grownish,28.813
2019-01-02,23:00,10,The Lakers,15.358
2019-01-02,23:34,1,Coachella,304.595
2019-01-02,23:34,2,#TheMaskedSinger,129.748
2019-01-02,23:34,3,Paul George,13.939
2019-01-02,23:34,4,Lance,52.923
2019-01-02,23:34,5,Terrance Ferguson,0
2019-01-02,23:34,6,Josh Hart,0
2019-01-02,23:34,7,The Lakers,17.580
2019-01-02,23:34,8,Kuzma,0
2019-01-02,23:34,9,Gordon Hayward,0
2019-01-02,23:34,10,#StrangeSafeWords,0
